timestamp,x,y,best_annotation
1730814912.411685,977.1859829475516,528.8797914695631,None
1730814912.511686,540.196258124806,609.8286439237388,None
1730814912.611686,537.864045395649,651.025512286707,None
1730814912.711688,605.5669040222,690.0378725498006,None
1730814912.811691,977.5503351179598,814.0445953177875,None
1730814912.911687,973.072719418126,707.9358166145082,None
1730814913.01169,985.1932740543356,689.9558997022189,None
1730814913.111685,993.4982226690544,697.7927682655965,None
1730814913.211687,934.8016604086442,694.9888339467366,None
1730814913.311696,932.292212664934,679.5306280115759,None
1730814913.411687,921.8337670601946,663.7979912655987,None
1730814913.511689,959.3902555127806,718.084382832696,None
1730814913.611681,956.8531015929752,727.3901664476828,None
1730814913.711682,954.2456033293972,737.2756589800806,None
1730814913.811719,1075.5859291713623,712.9564241851077,None
1730814913.911691,1070.9220240005443,712.022649643783,None
1730814914.011682,1083.502187561865,699.9462673412606,None
1730814914.111684,989.6626315399118,662.3946891544239,None
1730814914.211681,683.6203002497255,461.2866466712791,None
1730814914.311681,565.3267887901633,583.3188451345636,None
1730814914.411682,621.9445162923241,705.2093340000336,None
1730814914.511682,675.414702192518,688.1210669549322,None
1730814914.611684,704.427593998254,782.9848413189654,None
1730814914.711684,709.4751925886711,749.78412488285,None
1730814914.811681,702.1269321196063,757.7580077952771,None
1730814914.911685,699.196035308333,754.2115347924833,None
1730814915.011682,698.697286190165,768.425629178312,None
1730814915.111683,691.8977385923241,778.829303261843,None
1730814915.211682,693.7159936146368,780.146837046811,None
1730814915.311689,746.5050208771127,552.4154706044751,None
1730814915.411685,760.9289569354856,611.793755061092,None
1730814915.511683,761.5998188642777,629.9743107328443,None
1730814915.611686,762.4872617794194,625.9125633933871,None
1730814915.711689,765.6876176801223,624.4198859328741,None
1730814915.811683,774.8307337904937,617.6716716460155,None
1730814915.911706,723.9923358799617,661.358824317443,None
1730814916.011689,628.0689985227443,677.3908592760104,None
1730814916.111686,633.3670495112857,731.9371210627421,None
1730814916.211682,631.6218214608258,708.1861981402268,None
1730814916.311681,614.9254569394644,690.888594835426,None
1730814916.411691,618.4190970641554,834.9595813181528,None
1730814916.511691,608.2141788321096,833.0141935539954,None
1730814916.611693,613.9096804321023,730.0334606576778,None
1730814916.711682,577.7298685412756,579.1150418516144,None
1730814916.811684,584.450255714345,592.5764509957957,None
1730814916.91169,573.2152286640338,600.0217669629712,None
1730814917.011687,573.7866301435491,610.7491116692933,None
1730814917.111694,574.3915476411779,620.8502699409373,None
1730814917.211694,582.4506422359837,631.1535251156722,None
1730814917.311691,776.128012389463,687.644290245936,None
1730814917.411692,904.6109524461232,736.5613176543866,None
1730814917.511692,903.1714715796928,717.0546468974742,None
1730814917.611693,874.2486433714315,699.8844718078185,None
1730814917.711694,905.963345315567,771.2327641457233,None
1730814917.811686,894.6833297487688,754.4177510259157,None
1730814917.911678,854.1758997060915,670.8911767363712,None
1730814918.011687,870.3750415702908,672.5783376724752,None
1730814918.11169,877.2843477896238,671.898840617446,None
1730814918.211683,831.9446031526155,650.1362035181048,None
1730814918.31169,846.7830548535355,656.4601962497245,None
1730814918.411688,855.3479247281977,650.841447112515,None
1730814918.51169,838.052160087926,688.3120302611466,None
1730814918.611687,859.0065287925532,673.8133809021738,None
1730814918.711687,557.2004394303855,774.5526789122766,None
1730814918.811688,582.2954263883148,766.3885150827343,None
1730814918.911688,589.803852907739,761.4027465483972,None
1730814919.011686,603.3180347005954,753.2661443109988,None
1730814919.111691,609.4275505740545,749.6281684910953,None
1730814919.211684,613.2665679607436,746.2582112545924,None
1730814919.311682,612.3536470200974,736.2390120340132,None
1730814919.41169,921.5780329006136,607.2726373521241,None
1730814919.511688,917.3721471509956,609.9524241854577,None
